"SEARCHKEY";"ENGTEXT";"ENGTIP";"FRENCHTXT";"FRENCHTIP"
"view.report";"View Report";" ";"Visualiser tableaux de bords";" "
"view.role";"View Role";" ";"Visualiser R�e";" "
"view.vendor";"View Vendor";" ";"Visualiser fournisseur";" "
"year";"Year";" ";"Ann�";" "
"yes";"Yes";" ";"Oui";" "
"price.x";"Price(excl. VAT)";"Prix(excl. TVA)";" "
"price.i";"Price(incl. VAT)";"Prix(incl. TVA)";" "
"LogOut";"Log Out";"Sortir";" "
"smenu.price.check";"Price Check";"Verifier Prix";" "
"next";"Next";"Suivant";" "
"grouped.by";"Group by";"Grouper par";" "
"view.product";"View Product";"Produit de vue";" "
"activate.product";"Activate Ptoduct";"Activez le produit";" "
"deactivate.product";"Deactivate Produit";"Desactiver le produit";" "
