"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]","[tri]"
290,"290 - AJUSTĂRI PENTRU DEPRECIEREA IMOBILIZĂRILOR NECORPORALE","290 - Ajustări pentru deprecierea imobilizărilor necorporale","Liability",,,"Yes",,29,290,"290 - AJUSTĂRI PENTRU DEPRECIEREA IMOBILIZĂRILOR NECORPORALE",,,,,,,,,290000002
2903,"2903 - Ajustări pentru deprecierea cheltuielilor de dezvoltare","2903 - Ajustări pentru deprecierea cheltuielilor de dezvoltare","Liability",,,"No",,290,2903,"2903 - Ajustări pentru deprecierea cheltuielilor de dezvoltare",,,,,,,,,290300003
2905,"2905 - Ajustări pentru deprecierea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare","2905 - Ajustări pentru deprecierea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare","Liability",,,"No",,290,2905,"2905 - Ajustări pentru deprecierea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare",,,,,,,,,290500003
2907,"2907 - Ajustări pentru deprecierea fondului comercial","2907 - Ajustări pentru deprecierea fondului comercial","Liability",,,"No",,290,2907,"2907 - Ajustări pentru deprecierea fondului comercial",,,,,,,,,290700003
2908,"2908 - Ajustări pentru deprecierea altor imobilizări necorporale","2908 - Ajustări pentru deprecierea altor imobilizări necorporale","Liability",,,"No",,290,2908,"2908 - Ajustări pentru deprecierea altor imobilizări necorporale",,,,,,,,,290800003
291,"291 - AJUSTĂRI PENTRU DEPRECIEREA IMOBILIZĂRILOR CORPORALE","291 - Ajustări pentru deprecierea imobilizărilor corporale","Liability",,,"Yes",,29,291,"291 - AJUSTĂRI PENTRU DEPRECIEREA IMOBILIZĂRILOR CORPORALE",,,,,,,,,291000002
2911,"2911 - Ajustări pentru deprecierea terenurilor şi amenajărilor de terenuri","2911 - Ajustări pentru deprecierea terenurilor şi amenajărilor de terenuri","Liability",,,"No",,291,2911,"2911 - Ajustări pentru deprecierea terenurilor şi amenajărilor de terenuri",,,,,,,,,291100003
2912,"2912 - Ajustări pentru deprecierea construcţiilor","2912 - Ajustări pentru deprecierea construcţiilor","Liability",,,"No",,291,2912,"2912 - Ajustări pentru deprecierea construcţiilor",,,,,,,,,291200003
2913,"2913 - Ajustări pentru deprecierea instalaţiilor, mijloacelor de transport, animalelor şi plantaţiilor","2913 - Ajustări pentru deprecierea instalaţiilor, mijloacelor de transport, animalelor şi plantaţiilor","Liability",,,"No",,291,2913,"2913 - Ajustări pentru deprecierea instalaţiilor, mijloacelor de transport, animalelor şi plantaţiilor",,,,,,,,,291300003
2914,"2914 - Ajustări pentru deprecierea altor imobilizări corporale","2914 - Ajustări pentru deprecierea altor imobilizări corporale","Liability",,,"No",,291,2914,"2914 - Ajustări pentru deprecierea altor imobilizări corporale",,,,,,,,,291400003
293,"293 - PROVIZIOANE PENTRU DEPRECIEREA IMOBILIZARILOR IN CURS ","293 - Ajustări pentru deprecierea imobilizărilor în curs ","Liability",,,"Yes",,29,293,"293 - PROVIZIOANE PENTRU DEPRECIEREA IMOBILIZARILOR IN CURS ",,,,,,,,,293000002
2931,"2931 - Ajustări pentru deprecierea imobilizărilor corporale în curs","2931 - Ajustări pentru deprecierea imobilizărilor corporale în curs","Liability",,,"No",,293,2931,"2931 - Ajustări pentru deprecierea imobilizărilor corporale în curs",,,,,,,,,293100003
2932,"2933 - Ajustări pentru deprecierea imobilizărilor necorporale în curs","2933 - Ajustări pentru deprecierea imobilizărilor necorporale în curs","Liability",,,"No",,293,2932,"2933 - Ajustări pentru deprecierea imobilizărilor necorporale în curs",,,,,,,,,293200003
296,"296 - PROVIZIOANE PENTRU DEPRECIEREA IMOBILIZARILOR FINANCIA","296 - Ajustări pentru pierderea de valoare a imobilizărilor financiare","Liability",,,"Yes",,29,296,"296 - PROVIZIOANE PENTRU DEPRECIEREA IMOBILIZARILOR FINANCIA",,,,,,,,,296000002
2961,"2961 - Ajustări pentru  pierderea de valoare a acţiunilor deţinute la entităţile afiliate","2961 - Ajustări pentru  pierderea de valoare a acţiunilor deţinute la entităţile afiliate","Liability",,,"No",,296,2961,"2961 - Ajustări pentru  pierderea de valoare a acţiunilor deţinute la entităţile afiliate",,,,,,,,,296100003
2962,"2962 - Ajustări pentru  pierderea de valoare a intereselor de participare","2962 - Ajustări pentru  pierderea de valoare a intereselor de participare","Liability",,,"No",,296,2962,"2962 - Ajustări pentru  pierderea de valoare a intereselor de participare",,,,,,,,,296200003
2963,"2963 - Ajustări pentru  pierderea de valoare a altor titluri imobilizate","2963 - Ajustări pentru  pierderea de valoare a altor titluri imobilizate","Liability",,,"No",,296,2963,"2963 - Ajustări pentru  pierderea de valoare a altor titluri imobilizate",,,,,,,,,296300003
2964,"2964 - Ajustări pentru  pierderea de valoare a sumelor datorate de entităţile afiliate","2964 - Ajustări pentru  pierderea de valoare a sumelor datorate de entităţile afiliate","Liability",,,"No",,296,2964,"2964 - Ajustări pentru  pierderea de valoare a sumelor datorate de entităţile afiliate",,,,,,,,,296400003
2965,"2965 - Ajustări pentru  pierderea de valoare a creanţelor legate de interesele de  participare","2965 - Ajustări pentru  pierderea de valoare a creanţelor legate de interesele de  participare","Liability",,,"No",,296,2965,"2965 - Ajustări pentru  pierderea de valoare a creanţelor legate de interesele de  participare",,,,,,,,,296500003
2966,"2966 - Ajustări pentru  pierderea de valoare a împrumuturilor acordate pe termen lung","2966 - Ajustări pentru  pierderea de valoare a împrumuturilor acordate pe termen lung","Liability",,,"No",,296,2966,"2966 - Ajustări pentru  pierderea de valoare a împrumuturilor acordate pe termen lung",,,,,,,,,296600003
2968,"2968 - Ajustări pentru  pierderea de valoare a altor creanţe imobilizate","2968 - Ajustări pentru  pierderea de valoare a altor creanţe imobilizate","Liability",,,"No",,296,2968,"2968 - Ajustări pentru  pierderea de valoare a altor creanţe imobilizate",,,,,,,,,296800003
3,"3 - CONTURI DE STOCURI ŞI PRODUCŢIE ÎN CURS DE EXECUŢIE","3 - CONTURI DE STOCURI ŞI PRODUCŢIE ÎN CURS DE EXECUŢIE","Asset",,,"Yes",,,3,"3 - CONTURI DE STOCURI ŞI PRODUCŢIE ÎN CURS DE EXECUŢIE",,,,,,,,,300000000
30,"30 - STOCURI DE MATERII PRIME ŞI MATERIALE","30 - STOCURI DE MATERII PRIME ŞI MATERIALE","Asset",,"Yes","Yes",,3,30,"30 - STOCURI DE MATERII PRIME ŞI MATERIALE",,,,,,,,,300000001
301,"301 - Materii prime","301 - Materii prime","Asset",,"Yes","No",,30,301,"301 - Materii prime",,,,,,,,,301000002
302,"302 - MATERII CONSUMABILE","302 - Materii consumabile","Asset",,,"Yes",,30,302,"302 - MATERII CONSUMABILE",,,,,,,,,302000002
3021,"3021 - Materiale auxiliare","3021 - Materiale auxiliare","Asset",,,"No",,302,3021,"3021 - Materiale auxiliare",,,,,,,,,302100003
3022,"3022 - Combustibili","3022 - Combustibili","Asset",,,"No",,302,3022,"3022 - Combustibili",,,,,,,,,302200003
3023,"3023 - Materiale pentru ambalat","3023 - Materiale pentru ambalat","Asset",,,"No",,302,3023,"3023 - Materiale pentru ambalat",,,,,,,,,302300003
3024,"3024 - Piese de schimb","3024 - Piese de schimb","Asset",,,"No",,302,3024,"3024 - Piese de schimb",,,,,,,,,302400003
3025,"3025 - Seminţe şi materiale de plantat","3025 - Seminţe şi materiale de plantat","Asset",,,"No",,302,3025,"3025 - Seminţe şi materiale de plantat",,,,,,,,,302500003
3026,"3026 - Furaje","3026 - Furaje","Asset",,,"No",,302,3026,"3026 - Furaje",,,,,,,,,302600003
3028,"3028 - Alte materiale consumabile","3028 - Alte materiale consumabile","Asset",,,"No",,302,3028,"3028 - Alte materiale consumabile",,,,,,,,,302800003
303,"303 - Materiale de natura obiectelor de inventar","303 - Materiale de natura obiectelor de inventar","Asset",,,"No","W_INVENTORY_ACCT",30,303,"303 - Materiale de natura obiectelor de inventar",,,,,,,,,303000002
308,"308 - Diferenţe de pret la materii prime şi materiale","308 - Diferenţe de pret la materii prime şi materiale","Asset",,"Yes","No","W_DIFFERENCES_ACCT",30,308,"308 - Diferenţe de pret la materii prime şi materiale",,,,,,,,,308000002
33,"33 - PRODUCŢIA ÎN CURS DE EXECUŢIE","33 - PRODUCŢIA ÎN CURS DE EXECUŢIE","Asset",,"Yes","Yes",,3,33,"33 - PRODUCŢIA ÎN CURS DE EXECUŢIE",,,,,,,,,330000001
331,"331 - Produse în curs de execuţie","331 - Produse în curs de execuţie","Asset",,"Yes","No",,33,331,"331 - PRODUSE IN CURS DE EXECUTIE",,,,,,,,,331000002
332,"332 - LUCRARI SI SERVICII IN CURS DE EXECUTIE","332 - Lucrări şi servicii în curs de execuţie","Asset",,"Yes","Yes",,33,332,"332 - LUCRARI SI SERVICII IN CURS DE EXECUTIE",,,,,,,,,332000002
3321,"3321 - Proiecte în curs","3321 - Proiecte în curs","Asset",,"Yes","No","PJ_WIP_ACCT",332,3321,"3321 - PROIECTE ÎN CURS",,,,,,,,,332100003
3322,"3322 - Proiecte finalizate","3322 - Proiecte finalizate","Asset",,"Yes","No","PJ_ASSET_ACCT",332,3322,"3322 - PROIECTE FINALIZATE",,,,,,,,,332200003
34,"34 - PRODUSE","34 - PRODUSE","Asset",,"Yes","Yes",,3,34,"34 - PRODUSE",,,,,,,,,340000001
341,"341 - Semifabricate","341 - Semifabricate","Asset",,,"No",,34,341,"341 - Semifabricate",,,,,,,,,341000002
345,"345 - Produse finite","345 - Produse finite","Asset",,"Yes","No",,34,345,"345 - Produse finite",,,,,,,,,345000002
346,"346 - Produse reziduale","346 - Produse reziduale","Asset",,,"No",,34,346,"346 - Produse reziduale",,,,,,,,,346000002
348,"348 - Diferenţe de pret la produse","348 - Diferenţe de pret la produse","Asset",,,"No",,34,348,"348 - Diferenţe de pret la produse",,,,,,,,,348000002
35,"35 - STOCURI AFLATE LA TERŢI","35 - STOCURI AFLATE LA TERŢI","Asset",,"Yes","Yes",,3,35,"35 - STOCURI AFLATE LA TERŢI",,,,,,,,,350000001
351,"351 - Materii şi materiale aflate la terţi","351 - Materii şi materiale aflate la terţi","Asset",,,"No",,35,351,"351 - Materii şi materiale aflate la terţi",,,,,,,,,351000002
354,"354 - Produse aflate la terţi","354 - Produse aflate la terţi","Asset",,,"No",,35,354,"354 - Produse aflate la terţi",,,,,,,,,354000002
356,"356 - Animale aflate la terţi","356 - Animale aflate la terţi","Asset",,,"No",,35,356,"356 - Animale aflate la terţi",,,,,,,,,356000002
357,"357 - Mărfuri aflate la terţi","357 - Mărfuri aflate la terţi","Asset",,,"No",,35,357,"357 - Mărfuri aflate la terţi",,,,,,,,,357000002
358,"358 - Ambalaje aflate la terţi","358 - Ambalaje aflate la terţi","Asset",,,"No",,35,358,"358 - Ambalaje aflate la terţi",,,,,,,,,358000002
36,"36 - ANIMALE","36 - ANIMALE","Asset",,,"Yes",,3,36,"36 - ANIMALE",,,,,,,,,360000001
361,"361 - Animale şi pasări","361 - Animale şi pasări","Asset",,,"No",,36,361,"361 - Animale şi pasări",,,,,,,,,361000002
368,"368 - Diferenţe de preţ la animale şi păsări","368 - Diferenţe de preţ la animale şi păsări","Expense",,,"No",,36,368,"368 - Diferenţe de preţ la animale şi păsări",,,,,,,,,368000002
37,"37 - MĂRFURI","37 - MĂRFURI","Asset",,"Yes","Yes",,3,37,"37 - MĂRFURI",,,,,,,,,370000001
371,"371 - Mărfuri","371 - Mărfuri","Asset",,"Yes","No","P_ASSET_ACCT",37,371,"371 - Mărfuri",,,,,,,,,371000002
378,"378 - Diferenţe de pret la mărfuri","378 - Diferenţe de pret la mărfuri","Liability",,,"No","P_INVOICEPRICEVARIANCE_ACCT",37,378,"378 - Diferenţe de pret la mărfuri",,,,,,,,,378000002
38,"38 - AMBALAJE","38 - AMBALAJE","Asset",,,"Yes",,3,38,"38 - AMBALAJE",,,,,,,,,380000001
381,"381 - Ambalaje","381 - Ambalaje","Asset",,,"No",,38,381,"381 - Ambalaje",,,,,,,,,381000002
388,"388 - Diferenţe de pret la ambalaje","388 - Diferenţe de pret la ambalaje","Expense",,,"No",,38,388,"388 - Diferenţe de pret la ambalaje",,,,,,,,,388000002
39,"39 - AJUSTĂRI PENTRU DEPRECIEREA STOCURILOR ŞI PRODUCŢIEI ÎN CURS DE EXECUŢIE","39 - AJUSTĂRI PENTRU DEPRECIEREA STOCURILOR ŞI PRODUCŢIEI ÎN CURS DE EXECUŢIE","Liability",,,"Yes",,3,39,"39 - AJUSTĂRI PENTRU DEPRECIEREA STOCURILOR ŞI PRODUCŢIEI ÎN CURS DE EXECUŢIE",,,,,,,,,390000001
391,"391 - Ajustări pentru deprecierea materiilor prime","391 - Ajustări pentru deprecierea materiilor prime","Liability",,,"No",,39,391,"391 - Ajustări pentru deprecierea materiilor prime",,,,,,,,,391000002
392,"392 - AJUSTĂRI PENTRU DEPRECIEREA MATERIALELOR","392 - Ajustări pentru deprecierea materialelor","Liability",,,"Yes",,39,392,"392 - AJUSTĂRI PENTRU DEPRECIEREA MATERIALELOR",,,,,,,,,392000002
3921,"3921 - Ajustări pentru deprecierea materialelor consumabile","3921 - Ajustări pentru deprecierea materialelor consumabile","Liability",,,"No",,392,3921,"3921 - Ajustări pentru deprecierea materialelor consumabile",,,,,,,,,392100003
3922,"3922 - Ajustări pentru deprecierea materialelor de natura obiectelor de inventar ","3922 - Ajustări pentru deprecierea materialelor de natura obiectelor de inventar ","Liability",,,"No",,392,3922,"3922 - Ajustări pentru deprecierea materialelor de natura obiectelor de inventar ",,,,,,,,,392200003
393,"393 - Ajustări pentru deprecierea producţiei în curs de execuţie","393 - Ajustări pentru deprecierea producţiei în curs de execuţie","Liability",,,"No",,39,393,"393 - Ajustări pentru deprecierea producţiei în curs de execuţie",,,,,,,,,393000002
394,"394 -  AJUSTĂRI PENTRU DEPRECIEREA PRODUSELOR","394 - Ajustări pentru deprecierea produselor","Liability",,,"Yes",,39,394,"394 -  AJUSTĂRI PENTRU DEPRECIEREA PRODUSELOR",,,,,,,,,394000002
3941,"3941 - Ajustări pentru deprecierea semifabricatelor","3941 - Ajustări pentru deprecierea semifabricatelor","Liability",,,"No",,394,3941,"3941 - Ajustări pentru deprecierea semifabricatelor",,,,,,,,,394100003
3945,"3945 - Ajustări pentru deprecierea produselor finite","3945 - Ajustări pentru deprecierea produselor finite","Liability",,,"No",,394,3945,"3945 - Ajustări pentru deprecierea produselor finite",,,,,,,,,394500003
3946,"3946 - Ajustări pentru deprecierea produselor reziduale ","3946 - Ajustări pentru deprecierea produselor reziduale ","Liability",,,"No",,394,3946,"3946 - Ajustări pentru deprecierea produselor reziduale ",,,,,,,,,394600003
395,"395 -  AJUSTĂRI PENTRU DEPRECIEREA STOCURILOR AFLATE LA TE","395 - Ajustări pentru deprecierea stocurilor aflate la terţi","Liability",,,"Yes",,39,395,"395 -  AJUSTĂRI PENTRU DEPRECIEREA STOCURILOR AFLATE LA TE",,,,,,,,,395000002
3951,"3951 - Ajustări pentru deprecierea materiilor şi materialelor aflate la terţi","3951 - Ajustări pentru deprecierea materiilor şi materialelor aflate la terţi","Liability",,,"No",,395,3951,"3951 - Ajustări pentru deprecierea materiilor şi materialelor aflate la terţi",,,,,,,,,395100003
3952,"3952 - Ajustări pentru deprecierea semifabricatelor aflate la terţi","3952 - Ajustări pentru deprecierea semifabricatelor aflate la terţi","Liability",,,"No",,395,3952,"3952 - Ajustări pentru deprecierea semifabricatelor aflate la terţi",,,,,,,,,395200003
3953,"3953 - Ajustări pentru deprecierea produselor finite aflate la terţi","3953 - Ajustări pentru deprecierea produselor finite aflate la terţi","Liability",,,"No",,395,3953,"3953 - Ajustări pentru deprecierea produselor finite aflate la terţi",,,,,,,,,395300003
3954,"3954 - Ajustări pentru deprecierea produselor reziduale aflate la terţi","3954 - Ajustări pentru deprecierea produselor reziduale aflate la terţi","Liability",,,"No",,395,3954,"3954 - Ajustări pentru deprecierea produselor reziduale aflate la terţi",,,,,,,,,395400003
3956,"3956 - Ajustări pentru deprecierea animalelor aflate la terţi","3956 - Ajustări pentru deprecierea animalelor aflate la terţi","Liability",,,"No",,395,3956,"3956 - Ajustări pentru deprecierea animalelor aflate la terţi",,,,,,,,,395600003
3957,"3957 - Ajustări pentru deprecierea marfurilor aflate la terţi","3957 - Ajustări pentru deprecierea marfurilor aflate la terţi","Liability",,,"No",,395,3957,"3957 - Ajustări pentru deprecierea marfurilor aflate la terţi",,,,,,,,,395700003
3958,"3958 - Ajustări pentru deprecierea ambalajelor aflate la terţi ","3958 - Ajustări pentru deprecierea ambalajelor aflate la terţi ","Liability",,,"No",,395,3958,"3958 - Ajustări pentru deprecierea ambalajelor aflate la terţi ",,,,,,,,,395800003
396,"396 - Ajustări pentru deprecierea animalelor","396 - Ajustări pentru deprecierea animalelor","Liability",,,"No",,39,396,"396 - Ajustări pentru deprecierea animalelor",,,,,,,,,396000002
397,"397 - Ajustări pentru deprecierea marfurilor","397 - Ajustări pentru deprecierea marfurilor","Liability",,,"No",,39,397,"397 - Ajustări pentru deprecierea marfurilor",,,,,,,,,397000002
398,"398 - Ajustări pentru deprecierea ambalajelor","398 - Ajustări pentru deprecierea ambalajelor","Liability",,,"No",,39,398,"398 - Ajustări pentru deprecierea ambalajelor",,,,,,,,,398000002
4,"4 - CONTURI DE TERŢI","4 - CONTURI DE TERŢI","Liability",,"Yes","Yes",,,4,"4 - CONTURI DE TERŢI",,,,,,,,,400000000
40,"40 - FURNIZORI ŞI CONTURI ASIMILATE","40 - FURNIZORI ŞI CONTURI ASIMILATE","Liability",,"Yes","Yes",,4,40,"40 - FURNIZORI ŞI CONTURI ASIMILATE",,,,,,,,,400000001
401,"401 - FURNIZORI ","401 - Furnizori ","Liability","Credit",,"Yes",,40,401,"401 - FURNIZORI ",,,,,,,,,401000002
4011,"4011 - Furnizori de bunuri","4011 - Furnizori de bunuri","Liability","Credit","Yes","No","V_LIABILITY_ACCT",401,4011,"4011 - Furnizori de bunuri",,,,,,,,,401100003
4015,"4015 - Furnizori de prestări servicii","4015 - Furnizori de prestări servicii","Liability","Credit","Yes","No","V_LIABILITY_SERVICES_ACCT",401,4015,"4015 - Furnizori de prestări servicii",,,,,,,,,401500003
403,"403 - Efecte de plătit","403 - Efecte de plătit","Liability",,"Yes","No","B_PAYMENTSELECT_ACCT",40,403,"403 - Efecte de plătit",,,,,,,,,403000002
404,"404 - Furnizori de imobilizări","404 - Furnizori de imobilizări","Liability",,,"No",,40,404,"404 - Furnizori de imobilizări",,,,,,,,,404000002
405,"405 - Efecte de plătit pentru imobilizări","405 - Efecte de plătit pentru imobilizări","Liability",,,"No",,40,405,"405 - Efecte de plătit pentru imobilizări",,,,,,,,,405000002
408,"408 - Furnizori - facturi nesosite","408 - Furnizori - facturi nesosite","Liability",,"Yes","No","NOTINVOICEDRECEIPTS_ACCT",40,408,"408 - Furnizori - facturi nesosite",,,,,,,,,408000002
409,"409 - FURNIZORI - DEBITORI","409 - Furnizori - debitori","Asset",,,"Yes",,40,409,"409 - FURNIZORI - DEBITORI",,,,,,,,,409000002
4091,"4091 - Furnizori-debitori pentru cumpărări de bunuri de natura stocurilor","4091 - Furnizori-debitori pentru cumpărări de bunuri de natura stocurilor","Asset",,"Yes","No","V_PREPAYMENT_ACCT",409,4091,"4091 - Furnizori-debitori pentru cumpărări de bunuri de natura stocurilor",,,,,,,,,409100003
4092,"4092 - Furnizori-debitori pentru prestări de servicii şi executări de lucrări","4092 - Furnizori-debitori pentru prestări de servicii şi executări de lucrări","Asset",,,"No",,409,4092,"4092 - Furnizori-debitori pentru prestări de servicii şi executări de lucrări",,,,,,,,,409200003
41,"41 - CLIENŢI ŞI CONTURI ASIMILATE","41 - CLIENŢI ŞI CONTURI ASIMILATE","Asset",,"Yes","Yes",,4,41,"41 - CLIENŢI ŞI CONTURI ASIMILATE",,,,,,,,,410000001
411,"411 - CLIENŢI","411 - Clienţi","Asset","Debit",,"Yes",,41,411,"411 - CLIENŢI",,,,,,,,,411000002
4111,"4111 - Clienţi","4111 - Clienţi","Asset","Debit","Yes","No","C_RECEIVABLE_ACCT",411,4111,"4111 - Clienţi",,,,,,,,,411100003
4112,"4112 - Clienţi servicii","4112 - Clienţi servicii","Asset","Debit","Yes","No","C_RECEIVABLE_SERVICES_ACCT",411,4112,"4112 - Clienţi servicii",,,,,,,,,411200003
4118,"4118 - Clienţi incerţi sau în litigiu","4118 - Clienţi incerţi sau în litigiu","Asset","Debit","Yes","No","WRITEOFF_ACCT",411,4118,"4118 - Clienţi incerţi sau în litigiu",,,,,,,,,411800003
413,"413 - Efecte de primit de la clienţi","413 - Efecte de primit de la clienţi","Asset",,"Yes","No","B_UNALLOCATEDCASH_ACCT",41,413,"413 - Efecte de primit de la clienţi",,,,,,,,,413000002
418,"418 - Clienţi - facturi de întocmit","418 - Clienţi - facturi de întocmit","Asset",,"Yes","No","NOTINVOICEDRECEIVABLES_ACCT",41,418,"418 - Clienţi - facturi de întocmit",,,,,,,,,418000002
419,"419 - Clienţi - creditori","419 - Clienţi - creditori","Liability",,,"No","C_PREPAYMENT_ACCT",41,419,"419 - Clienţi - creditori",,,,,,,,,419000002
42,"42 - PERSONAL ŞI CONTURI ASIMILATE","42 - PERSONAL ŞI CONTURI ASIMILATE","Liability",,,"Yes",,4,42,"42 - PERSONAL ŞI CONTURI ASIMILATE",,,,,,,,,420000001
421,"421 - Personal - salarii datorate","421 - Personal - salarii datorate","Liability",,,"No",,42,421,"421 - Personal - salarii datorate",,,,,,,,,421000002
423,"423 - Personal - ajutoare materiale datorate","423 - Personal - ajutoare materiale datorate","Liability",,,"No",,42,423,"423 - Personal - ajutoare materiale datorate",,,,,,,,,423000002
424,"424 - Participarea personalului la profit","424 - Participarea personalului la profit","Liability",,,"No",,42,424,"424 - Participarea personalului la profit",,,,,,,,,424000002
425,"425 - Avansuri acordate personalului","425 - Avansuri acordate personalului","Asset",,"Yes","No","E_PREPAYMENT_ACCT",42,425,"425 - Avansuri acordate personalului",,,,,,,,,425000002
426,"426 - Drepturi de personal neridicate","426 - Drepturi de personal neridicate","Liability",,,"No",,42,426,"426 - Drepturi de personal neridicate",,,,,,,,,426000002
427,"427 - Reţineri din salarii datorate terţilor","427 - Reţineri din salarii datorate terţilor","Liability",,,"No",,42,427,"427 - Reţineri din salarii datorate terţilor",,,,,,,,,427000002
428,"428 - ALTE DATORII ŞI CREANŢE ÎN LEGATURĂ CU PERSONALUL","428 - Alte datorii şi creanţe în legatură cu personalul","Liability",,"Yes","Yes",,42,428,"428 - ALTE DATORII ŞI CREANŢE ÎN LEGATURĂ CU PERSONALUL",,,,,,,,,428000002
4281,"4281 - Alte datorii în legatură cu personalul","4281 - Alte datorii în legatură cu personalul","Liability",,"Yes","No",,428,4281,"4281 - Alte datorii în legatură cu personalul",,,,,,,,,428100003
4282,"4282 - Alte creanţe în legatură cu personalul","4282 - Alte creanţe în legatură cu personalul","Asset",,"Yes","No",,428,4282,"4282 - Alte creanţe în legatură cu personalul",,,,,,,,,428200003
43,"43 - ASIGURĂRI SOCIALE, PROTECŢIA SOCIALĂ ŞI CONTURI ASIMILATE","43 - ASIGURĂRI SOCIALE, PROTECŢIA SOCIALĂ ŞI CONTURI ASIMILATE","Liability",,"Yes","Yes",,4,43,"43 - ASIGURĂRI SOCIALE, PROTECŢIA SOCIALĂ ŞI CONTURI ASIMILATE",,,,,,,,,430000001
431,"431 - ASIGURĂRI SOCIALE","431 - Asigurări sociale","Liability",,,"Yes",,43,431,"431 - ASIGURĂRI SOCIALE",,,,,,,,,431000002
4311,"4311 - Contribuţia unităţii la asigurările sociale","4311 - Contribuţia unităţii la asigurările sociale","Liability",,,"No",,431,4311,"4311 - Contribuţia unităţii la asigurările sociale",,,,,,,,,431100003
4312,"4312 - Contribuţia personalului la asigurările sociale","4312 - Contribuţia personalului la asigurările sociale","Liability",,,"No",,431,4312,"4312 - Contribuţia personalului la asigurările sociale",,,,,,,,,431200003
4313,"4313 - Contribuţia angajatorului pentru asigurările sociale de sănătate","4313 - Contribuţia angajatorului pentru asigurările sociale de sănătate","Liability",,,"No",,431,4313,"4313 - Contribuţia angajatorului pentru asigurările sociale de sănătate",,,,,,,,,431300003
4314,"4314 - Contribuţia angajaţilor pentru asigurările sociale de sănătate","4314 - Contribuţia angajaţilor pentru asigurările sociale de sănătate","Liability",,,"No",,431,4314,"4314 - Contribuţia angajaţilor pentru asigurările sociale de sănătate",,,,,,,,,431400003
437,"437 - AJUTOR DE ŞOMAJ","437 - Ajutor de şomaj","Liability",,,"Yes",,43,437,"437 - AJUTOR DE ŞOMAJ",,,,,,,,,437000002
4371,"4371 - Contribuţia unităţii la fondul de şomaj","4371 - Contribuţia unităţii la fondul de şomaj","Liability",,,"No",,437,4371,"4371 - Contribuţia unităţii la fondul de şomaj",,,,,,,,,437100003
4372,"4372 - Contribuţia personalului la fondul de şomaj","4372 - Contribuţia personalului la fondul de şomaj","Liability",,,"No",,437,4372,"4372 - Contribuţia personalului la fondul de şomaj",,,,,,,,,437200003
438,"438 - ALTE DATORII ŞI CREANŢE SOCIALE","438 - Alte datorii şi creanţe sociale","Liability",,"Yes","Yes",,43,438,"438 - ALTE DATORII ŞI CREANŢE SOCIALE",,,,,,,,,438000002
4381,"4381 - Alte datorii sociale","4381 - Alte datorii sociale","Liability",,"Yes","No",,438,4381,"4381 - Alte datorii sociale",,,,,,,,,438100003
4382,"4382 - Alte creanţe sociale","4382 - Alte creanţe sociale","Asset",,"Yes","No",,438,4382,"4382 - Alte creanţe sociale",,,,,,,,,438200003
44,"44 - BUGETUL STATULUI, FONDURI SPECIALE ŞI CONTURI ASIMILATE","44 - BUGETUL STATULUI, FONDURI SPECIALE ŞI CONTURI ASIMILATE","Liability",,"Yes","Yes",,4,44,"44 - BUGETUL STATULUI, FONDURI SPECIALE ŞI CONTURI ASIMILATE",,,,,,,,,440000001
441,"441 - IMPOZITUL PE PROFIT/VENIT","441 - Impozitul pe profit/venit","Liability",,"Yes","Yes",,44,441,"441 - IMPOZITUL PE PROFIT/VENIT",,,,,,,,,441000002
4411,"4411 - Impozitul pe profit","4411 - Impozitul pe profit","Liability",,"Yes","No",,441,4411,"4411 - Impozitul pe profit",,,,,,,,,441100003
4412,"4412 - Impozitul pe venit","4412 - Impozitul pe venit","Liability",,"Yes","No",,441,4412,"4412 - Impozitul pe venit",,,,,,,,,441200003
442,"442 - TAXA PE VALOAREA ADĂUGATĂ","442 - Taxa pe valoarea adăugată","Liability",,"Yes","Yes",,44,442,"442 - TAXA PE VALOAREA ADĂUGATĂ",,,,,,,,,442000002
4423,"4423 - TVA de plată","4423 - TVA de plată","Liability",,"Yes","No","T_LIABILITY_ACCT",442,4423,"4423 - TVA de plată",,,,,,,,,442300003
4424,"4424 - TVA de recuperat","4424 - TVA de recuperat","Asset",,"Yes","No","T_RECEIVABLES_ACCT",442,4424,"4424 - TVA de recuperat",,,,,,,,,442400003
4426,"4426 - TVA deductibilă","4426 - TVA deductibilă","Asset",,,"No","T_CREDIT_ACCT",442,4426,"4426 - TVA deductibilă",,,,,,,,,442600003
4427,"4427 - TVA colectată","4427 - TVA colectată","Liability",,"Yes","No","T_DUE_ACCT",442,4427,"4427 - TVA colectată",,,,,,,,,442700003
